"","GattungArt","Deckung"
"1","Antennaria dioica",0.0233333333333333
"2","Arnica montana",0.00166666666666667
"3","Calluna vulgaris",0.221666666666667
"4","Carex frigida",0.00166666666666667
"5","Carex nigra",0.00666666666666667
"6","Cetraria islandica",0.005
"7","Deschampsia flexuosa",0.03
"8","Euphrasia minima",0.00166666666666667
"9","Festuca halleri",0.0166666666666667
"10","Festuca nigrescens",0.00166666666666667
"11","Gentiana acaulis",0.00166666666666667
"12","Helictotrichon versicolor",0.01
"13","Hieracium alpinum",0.00166666666666667
"14","Leontodon helveticus",0.00166666666666667
"15","Loiseleuria procumbens",0.516666666666667
"16","Luzula lutea",0.00333333333333333
"17","Nardus stricta",0.0216666666666667
"18","Phyteuma hemisphaericum",0.005
"19","Potentilla erecta",0.00666666666666667
"20","Rhododendron ferrugineum",0.00166666666666667
"21","Trifolium alpestre",0.00833333333333333
"22","Trifolium alpinum",0.005
"23","Vaccinium uliginosum",0.105
"24","Vaccinium vitis-idaea",0.0466666666666667
